Id,Diameter[mm],Cumul_Psd
76,0.125,0.97
76,0.25,0.99
76,0.5,1
76,1,1
76,2,1
77,0.002,0.28
77,0.006,0.41
77,0.01,0.44
77,0.02,0.57
77,0.063,0.77
77,0.125,0.86
77,0.25,0.95
77,0.5,0.99
77,1,1
77,2,1
78,0.002,0.29
78,0.006,0.43
78,0.01,0.49
78,0.02,0.59
78,0.063,0.8
78,0.125,0.87
78,0.25,0.95
78,0.5,0.99
78,1,1
78,2,1
79,0.002,0.22
79,0.006,0.32
79,0.01,0.37
79,0.02,0.48
79,0.063,0.72
79,0.125,0.84
79,0.25,0.96
79,0.5,1
79,1,1
79,2,1
80,0.002,0.15
80,0.006,0.21
80,0.01,0.25
80,0.02,0.34
80,0.063,0.67
80,0.125,0.85
80,0.25,0.97
80,0.5,1
80,1,1
80,2,1
81,0.002,0.17
81,0.006,0.21
81,0.01,0.26
81,0.02,0.37
81,0.063,0.74
81,0.125,0.89
81,0.25,0.98
81,0.5,1
81,1,1
81,2,1
82,0.002,0.19
82,0.006,0.25
82,0.01,0.31
82,0.02,0.42
82,0.063,0.82
82,0.125,0.96
82,0.25,0.99
82,0.5,1
82,1,1
82,2,1
83,0.002,0.22
83,0.006,0.37
83,0.01,0.46
83,0.02,0.63
83,0.063,0.89
83,0.125,0.98
83,0.25,1
83,0.5,1
83,1,1
83,2,1
84,0.002,0.3
84,0.006,0.38
84,0.01,0.45
84,0.02,0.58
84,0.063,0.83
84,0.125,0.91
84,0.25,0.97
84,0.5,1
84,1,1
84,2,1
85,0.002,0.22
85,0.006,0.33
85,0.01,0.4
85,0.02,0.53
85,0.063,0.8
85,0.125,0.89
85,0.25,0.96
85,0.5,1
85,1,1
85,2,1
86,0.002,0.26
86,0.006,0.35
86,0.01,0.39
86,0.02,0.52
86,0.063,0.83
86,0.125,0.93
86,0.25,0.98
86,0.5,1
86,1,1
86,2,1
87,0.002,0.17
87,0.006,0.24
87,0.01,0.28
87,0.02,0.38
87,0.063,0.66
87,0.125,0.79
87,0.25,0.93
87,0.5,0.99
87,1,1
87,2,1
88,0.002,0.2
88,0.006,0.28
88,0.01,0.31
88,0.02,0.42
