Id,H[mm],Theta
23,4000,0.314488017
23,10000,0.28175121
23,150000,0.188464726
24,0,0.492225
24,40,0.381554688
24,70,0.381554688
24,100,0.380357519
24,500,0.347691923
24,1000,0.333325901
24,2000,0.325629819
24,4000,0.312289942
24,10000,0.291253982
24,150000,0.223103123
25,0,0.482485
25,40,0.411702003
25,70,0.409629142
25,100,0.407715732
25,500,0.383479209
25,1000,0.371679848
25,2000,0.357807628
25,4000,0.353821357
25,10000,0.313639752
25,150000,0.25106434
26,0,0.533814658
26,40,0.516230575
26,70,0.500310716
26,100,0.483225988
26,500,0.415081222
26,1000,0.395666759
26,2000,0.372951837
26,4000,0.367321643
26,10000,0.324221535
26,150000,0.261035154
27,0,0.504051341
27,40,0.446106143
27,70,0.434691515
27,100,0.427393637
27,500,0.372940245
27,1000,0.356660365
27,2000,0.34318736
27,4000,0.338509234
27,10000,0.29696747
27,150000,0.258091284
28,0,0.447499139
28,40,0.408728408
28,70,0.404924514
28,100,0.400740231
28,500,0.361560123
28,1000,0.348246494
28,2000,0.338356369
28,4000,0.334172086
28,10000,0.297844898
28,150000,0.251627587
29,0,0.453733415
29,40,0.418974123
29,70,0.409723544
29,100,0.390836946
29,500,0.341307807
29,1000,0.325119294
29,2000,0.315290554
29,4000,0.310279824
29,10000,0.277710079
29,150000,0.232016858
30,0,0.451539267
30,40,0.442360505
30,70,0.411693918
30,100,0.378421674
30,500,0.318691982
30,1000,0.3028576
30,2000,0.291833664
30,4000,0.287424089
30,10000,0.257358808
30,150000,0.22351928
31,0,0.528181599
31,40,0.522168011
31,70,0.511507636
31,100,0.499895442
31,500,0.45763467
31,1000,0.44278629
31,2000,0.422226996
31,4000,0.417848627
31,10000,0.374445672
31,150000,0.269331583
32,0,0.523132884
32,40,0.523022532
32,70,0.50384124
32,100,0.478962536
32,500,0.435282368
32,1000,0.416480905
32,2000,0.390652632
32,4000,0.385145132
32,10000,0.348871601
32,150000,0.248758997
33,0,0.533925847
33,40,0.464184875
33,70,0.454563523
33,100,0.445486775
33,500,0.388303265
33,1000,0.371420514
33,2000,0.355626973
33,4000,0.351814739
33,10000,0.317323098
33,150000,0.240206041
34,0,0.476874522
