Id,H[mm],Theta
61,10000,0.326359775
61,150000,0.178587444
62,0,0.498084291
62,40,0.484873869
62,70,0.474796094
62,100,0.473467157
62,500,0.448660326
62,1000,0.423078282
62,2000,0.395502832
62,4000,0.37412909
62,10000,0.337251078
62,150000,0.191440501
63,0,0.463410801
63,40,0.447741035
63,70,0.445233256
63,100,0.444549317
63,500,0.421637341
63,1000,0.398155416
63,2000,0.386186474
63,4000,0.362932529
63,10000,0.325087873
63,150000,0.20634267
64,0,0.457973735
64,40,0.417590699
64,70,0.412119182
64,100,0.407673575
64,500,0.357062048
64,1000,0.336771841
64,2000,0.327766636
64,4000,0.30633653
64,10000,0.276129199
64,150000,0.208731279
65,0,0.494214503
65,40,0.463768018
65,70,0.452255036
65,100,0.439260184
65,500,0.385000979
65,1000,0.36710456
65,2000,0.353425769
65,4000,0.328461975
65,10000,0.292555148
65,150000,0.205407423
66,0,0.476021257
66,40,0.43478038
66,70,0.422127498
66,100,0.418137851
66,500,0.345982227
66,1000,0.324210151
66,2000,0.30961944
66,4000,0.290583122
66,10000,0.253650386
66,150000,0.204394438
67,0,0.640608856
67,40,0.594389076
67,70,0.576036697
67,100,0.5567724
67,500,0.442440503
67,1000,0.411321253
67,2000,0.390461096
67,4000,0.362875534
67,10000,0.303486782
67,150000,0.135153051
68,0,0.644944403
68,40,0.578590072
68,70,0.557843905
68,100,0.55054855
68,500,0.480216765
68,1000,0.443056049
68,2000,0.421739932
68,4000,0.386745025
68,10000,0.324506524
68,150000,0.122295557
69,0,0.652496115
69,40,0.598013955
69,70,0.576697839
69,100,0.571910262
69,500,0.490293474
69,1000,0.43535033
69,2000,0.415972042
69,4000,0.390096328
69,10000,0.318624644
69,150000,0.121956059
70,0,0.432488618
70,40,0.389230005
70,70,0.388546065
70,100,0.388318086
70,500,0.372701466
70,1000,0.358566715
70,2000,0.322545898
70,4000,0.268514672
70,10000,0.200234706
70,150000,0.109317509
71,0,0.484243865
71,40,0.432546177
71,70,0.425820772
71,100,0.425478802
71,500,0.385126368
71,1000,0.353551158
71,2000,0.321747968
71,4000,0.284473262
71,10000,0.213457537
71,150000,0.123401939
72,0,0.506185487
72,40,0.455731728
72,70,0.439431169
72,100,0.435213542
72,500,0.39007353
72,1000,0.366135646
72,2000,0.335358365
72,4000,0.294321992
72,10000,0.226156015
72,150000,0.101732075
73,0,0.5930657
73,40,0.534806541
73,70,0.509386787
73,100,0.506765019
73,500,0.419448735
73,1000,0.393914991
73,2000,0.363023721
73,4000,0.324039166
73,10000,0.258722938
73,150000,0.148878886
74,0,0.607543944
74,40,0.567852221
74,70,0.533655243
74,100,0.523282159
74,500,0.441779361
74,1000,0.421147185
74,2000,0.385354347
74,4000,0.35058742
74,10000,0.30305362
74,150000,0.143622204
75,0,0.573953653
75,40,0.544222109
75,70,0.523361952
75,100,0.516294577
75,500,0.462491331
75,1000,0.443227033
75,2000,0.418377229
75,4000,0.38634606
75,10000,0.334480643
75,150000,0.155308492
76,0,0.610995402
76,40,0.544222109
76,70,0.509683161
76,100,0.506149473
76,500,0.456791835
76,1000,0.442087134
76,2000,0.410967884
76,4000,0.382470402
76,10000,0.340180139
76,150000,0.165483638
77,0,0.549913443
77,40,0.54002728
77,70,0.535467682
77,100,0.532959904
77,500,0.507084191
77,1000,0.488275853
77,2000,0.460348321
77,4000,0.432648768
77,10000,0.391498405
77,150000,0.189006317
78,0,0.452008957
78,40,0.453052965
78,70,0.451343116
78,100,0.450659177
78,500,0.422845635
78,1000,0.408368914
78,2000,0.387052797
78,4000,0.369840318
78,10000,0.340088947
78,150000,0.25139291
79,0,0.525090129
79,40,0.508657252
79,70,0.505465534
79,100,0.504325634
79,500,0.4798178
79,1000,0.46465714
79,2000,0.437641527
79,4000,0.412905713
79,10000,0.3711854
79,150000,0.162296866
80,0,0.512906837
80,40,0.475497582
80,70,0.46307268
80,100,0.460222932
80,500,0.401518119
80,1000,0.375642406
80,2000,0.342015377
80,4000,0.3066785
80,10000,0.248885607
80,150000,0.129924759
81,0,0.484042282
81,40,0.457042613
81,70,0.450203217
81,100,0.449975237
81,500,0.42945705
81,1000,0.41395442
81,2000,0.385114969
81,4000,0.348410212
81,10000,0.279674286
81,150000,0.128838128
82,0,0.595400575
82,40,0.55360348
82,70,0.52214226
82,100,0.518494582
82,500,0.436763805
82,1000,0.403136776
82,2000,0.362556362
82,4000,0.323229837
82,10000,0.25665972
82,150000,0.114259626
83,0,0.518885139
83,40,0.4846269
83,70,0.477939829
83,100,0.475339301
83,500,0.421471229
83,1000,0.390264897
83,2000,0.361844845
83,4000,0.337697089
83,10000,0.288101312
83,150000,0.130561931
84,0,0.602941368
84,40,0.588245019
84,70,0.584597341
84,100,0.584483351
84,500,0.53991329
84,1000,0.515633435
84,2000,0.480866507
84,4000,0.448835338
84,10000,0.388648656
84,150000,0.223038376
85,0,0.588775838
85,40,0.581462618
85,70,0.564136149
85,100,0.560602461
85,500,0.509648964
85,1000,0.487534918
85,2000,0.45310996
85,4000,0.419482932
85,10000,0.361804029
85,150000,0.204326783
86,0,0.579701771
86,40,0.579365203
86,70,0.570473989
86,100,0.56967606
86,500,0.523282159
86,1000,0.502763972
86,2000,0.469478914
86,4000,0.437561734
86,10000,0.383530509
86,150000,0.22373163
87,0,0.564633628
87,40,0.481334477
87,70,0.463382609
87,100,0.461325624
87,500,0.365769323
87,1000,0.33884152
87,2000,0.304807769
87,4000,0.267221044
87,10000,0.210186462
87,150000,0.105713812
88,0,0.597113824
88,40,0.541708482
88,70,0.514402941
88,100,0.513474182
88,500,0.414654131
88,1000,0.382333288
88,2000,0.346483157
88,4000,0.301902683
88,10000,0.238932764
88,150000,0.100709089
89,0,0.529147362
89,40,0.49352442
89,70,0.483122309
89,100,0.483122309
89,500,0.425353445
89,1000,0.405663736
89,2000,0.379472708
89,4000,0.349380888
89,10000,0.283996193
89,150000,0.132595469
90,0,0.608179905
90,40,0.605867861
90,70,0.590935181
90,100,0.589681292
90,500,0.531204459
90,1000,0.509546373
90,2000,0.470333838
90,4000,0.432489182
90,10000,0.383473514
90,150000,0.223365346
