Id,H[mm],Kunsat[mm_s]
87,70,0.0045
87,100,0.0012
88,0,0.0321
88,10,0.0149
88,40,0.0069
88,70,0.0028
88,100,0.0011
89,0,0.0257
89,10,0.0030
89,40,0.0028
89,70,0.0018
89,100,0.0011
90,0,0.0449
90,10,0.0232
90,40,0.0121
90,70,0.0038
90,100,0.0009
