Id,Tinfilt[s],Cumul_Infiltration[mm]
35,416,30
35,516,35
35,632,40
35,752,45
35,877,50
35,1034,55
35,1220,60
35,1413,65
35,1628,70
35,1839,75
36,74,5
36,573,10
36,1268,15
36,2182,20
36,3187,25
36,4379,30
37,43,5
37,517,10
37,1471,15
37,2562,20
37,3836,25
37,5475,30
38,13,5
38,38,10
38,85,15
38,160,20
38,239,25
38,332,30
38,420,35
38,511,40
38,611,45
38,711,50
38,826,55
38,942,60
38,1057,65
38,1170,70
39,11,5
39,38,10
39,79,15
39,138,20
39,211,25
39,282,30
39,363,35
39,446,40
39,528,45
39,615,50
40,9,5
40,24,10
40,50,15
40,113,20
40,223,25
40,335,30
40,447,35
40,561,40
40,700,45
40,848,50
40,997,55
41,22,5
41,125,10
41,281,15
41,452,20
41,669,25
41,908,30
41,1141,35
41,1378,40
41,1622,45
42,12,5
42,37,10
42,67,15
42,107,20
42,162,25
42,229,30
42,292,35
42,361,40
42,434,45
42,505,50
43,87,5
43,167,10
43,250,15
43,332,20
43,410,25
43,512,30
43,624,35
43,746,40
43,867,45
43,998,50
43,1154,55
43,1310,60
43,1460,65
44,16,5
44,55,10
44,100,15
44,154,20
44,219,25
44,296,30
44,377,35
44,469,40
44,571,45
44,674,50
44,779,55
44,889,60
44,1006,65
45,21,5
45,73,10
45,143,15
45,246,20
45,330,25
45,454,30
45,574,35
45,699,40
45,821,45
45,957,50
45,1095,55
45,1235,60
46,45,5
46,146,10
46,321,15
46,517,20
46,720,25
46,932,30
46,1147,35
46,1351,40
46,1566,45
47,3,5
47,8,10
47,40,15
47,74,20
47,117,25
47,164,30
47,210,35
47,253,40
47,297,45
47,344,50
47,390,55
48,17,5
48,73,10
48,137,15
48,217,20
48,294,25
48,406,30
48,525,35
48,658,40
48,793,45
48,930,50
48,1065,55
49,14,5
49,47,10
49,92,15
49,141,20
49,195,25
49,250,30
49,314,35
49,379,40
49,441,45
49,504,50
50,23,5
50,70,10
50,154,15
50,279,20
50,411,25
50,555,30
50,732,35
50,912,40
50,1090,45
50,1269,50
51,21,5
51,145,10
51,398,15
51,732,20
51,1084,25
51,1405,30
51,1766,35
51,2122,40
51,2484,45
51,2847,50
52,28,5
52,176,10
52,481,15
52,806,20
52,1159,25
52,1552,30
52,2004,35
52,2454,40
52,2884,45
53,20,5
53,50,10
53,81,15
53,123,20
53,164,25
53,212,30
53,269,35
53,323,40
53,378,45
53,434,50
53,494,55
54,45,5
54,148,10
54,275,15
54,441,20
54,607,25
54,784,30
54,983,35
54,1185,40
54,1373,45
54,1555,50
55,30,5
55,288,10
55,598,15
55,948,20
55,1289,25
55,1771,30
55,2252,35
55,2731,40
55,3230,45
56,105,5
56,581,10
56,1160,15
56,1802,20
56,2433,25
56,3079,30
56,3728,35
57,14,3.184713376
57,73,6.369426752
57,187,9.554140127
57,281,12.8
57,407,17.8
57,581,22.8
57,756,27.8
57,932,32.8
57,1139,37.8
57,2125,42.8
57,3229,47.8
57,4349,52.8
58,97,3.185
58,243,6.37
58,412,9.555
58,578,12.74
58,758,15.925
58,946,19.11
58,1197,22.295
58,1517,25.48
58,1867,28.665
58,2293,31.85
58,2748,35.035
58,3202,38.22
59,131,3.185
59,545,6.37
59,1400,9.555
59,2571,12.74
59,3796,15.925
59,5377,19.11
59,7184,22.295
59,9124,25.48
60,30,3.2
60,86,6.4
60,147,9.6
60,211,12.8
60,294,16
60,417,19.2
60,644,22.4
60,926,25.6
60,1212,28.8
60,1507,32
60,1816,35.2
60,2117,38.4
61,190,3.2
61,399,6.4
61,663,9.6
61,976,12.8
61,1288,16
61,1622,19.2
61,1955,22.4
61,2287,25.6
61,2614,28.8
61,2948,32
62,406,3.2
62,860,6.4
62,1442,9.6
62,2179,12.8
62,3055,16
62,4043,19.2
62,5033,22.4
62,6027,25.6
63,67,3.2
63,176,6.4
63,390,9.6
63,666,12.8
63,1011,16
63,1363,19.2
63,1741,22.4
63,2121,25.6
63,2513,28.8
64,74,3.2
64,205,6.4
64,355,9.6
64,501,12.8
64,695,16
64,928,19.2
64,1201,22.4
64,1496,25.6
64,1789,28.8
64,2081,32
64,2382,35.2
65,117,3.2
65,390,6.4
65,760,9.6
65,1201,12.8
65,1654,16
65,2735,19.2
65,4108,22.4
65,5491,25.6
66,56,3.2
66,184,6.4
66,341,9.6
66,484,12.8
66,636,16
66,807,19.2
66,987,22.4
66,1169,25.6
66,1356,28.8
66,1544,32
67,2,5
67,5,10
67,10,15
67,21,20
67,32,25
67,44,30
67,62,35
67,82,40
67,101,45
67,119,50
67,138,55
68,7,5
68,20,10
68,35,15
68,60,20
68,86,25
68,111,30
68,144,35
68,186,40
68,222,45
68,264,50
68,305,55
68,348,60
68,390,65
69,10,5
69,50,10
69,119,15
69,210,20
69,330,25
69,441,30
69,563,35
69,685,40
69,805,45
69,926,50
70,2783,5
70,10324,10
70,18931,15
71,16,5
71,186,10
71,588,15
71,1046,20
71,1616,25
71,2243,30
71,2821,35
71,3337,40
71,3894,45
71,4450,50
71,5012,55
72,7,5
72,21,10
72,87,15
72,199,20
72,331,25
72,515,30
72,706,35
72,931,40
72,1166,45
72,1433,50
72,1691,55
72,1945,60
73,40,5
73,90,10
73,145,15
73,189,20
73,240,25
73,294,30
73,349,35
73,404,40
73,460,45
73,517,50
74,9,5
74,31,10
74,51,15
74,80,20
74,113,25
74,146,30
74,187,35
74,226,40
74,263,45
74,306,50
74,346,55
74,389,60
75,16,5
75,42,10
75,85,15
75,138,20
75,203,25
75,267,30
75,332,35
75,407,40
75,480,45
75,553,50
76,19,5
76,61,10
76,136,15
76,242,20
76,354,25
76,499,30
76,644,35
76,798,40
76,942,45
76,1093,50
76,1239,55
77,255,5
77,428,10
77,683,15
77,937,20
77,1335,25
77,1732,30
77,2149,35
77,2569,40
77,3012,45
77,3513,50
77,4026,55
77,4602,60
78,60,5
78,120,10
78,210,15
78,300,20
78,390,25
78,487,30
78,598,35
78,717,40
78,836,45
78,961,50
78,1092,55
78,1226,60
78,1380,65
78,1534,70
78,1686,75
78,1839,80
78,2000,85
78,2208,90
78,2400,95
78,2590,100
78,2782,105
78,2981,110
78,3178,115
79,120,5
79,431,10
79,933,15
79,1680,20
79,2716,25
79,3945,30
79,5449,35
79,6889,40
80,52,5
80,141,10
80,307,15
80,528,20
80,768,25
80,1012,30
80,1282,35
80,1565,40
81,18,5
81,101,10
81,221,15
81,513,20
81,919,25
81,1327,30
81,1807,35
81,2288,40
81,2770,45
82,22,5
82,57,10
82,108,15
82,159,20
82,228,25
82,311,30
82,377,35
82,463,40
82,549,45
82,669,50
82,784,55
82,906,60
83,973,5
83,2422,10
83,3926,15
83,5449,20
83,6957,25
83,8660,30
84,59,5
84,121,10
84,186,15
84,249,20
84,312,25
84,395,30
84,470,35
84,552,40
84,637,45
84,722,50
84,813,55
85,41,5
85,92,10
85,164,15
85,242,20
85,330,25
85,435,30
85,563,35
85,701,40
85,839,45
85,981,50
86,58,5
86,185,10
86,370,15
86,611,20
86,853,25
86,1110,30
86,1377,35
86,1630,40
86,1882,45
87,53,5
87,137,10
87,215,15
87,291,20
87,370,25
87,467,30
87,563,35
87,669,40
87,780,45
87,890,50
88,120,5
88,234,10
88,360,15
88,490,20
88,626,25
88,759,30
88,916,35
88,1066,40
88,1232,45
88,1397,50
88,1556,55
89,35,5
89,112,10
89,241,15
89,418,20
89,619,25
89,849,30
89,1127,35
89,1374,40
89,1688,45
89,1994,50
90,46,5
90,101,10
90,151,15
90,211,20
90,281,25
90,425,30
90,588,35
90,751,40
90,922,45
90,1097,50
90,1281,55
