∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
442800.0,3600.0,102.2868000000014,0.8316000000020694,0.0,0.8316000000020694,-0.0019291646380848282
446400.0,3600.0,103.11839999999933,0.8315999999979198,0.0,0.8315999999979198,-0.0019291657488861207
450000.0,3600.0,103.94999999999932,0.8315999999999946,0.0,0.8315999999999946,-0.0019291660223634457
453600.0,3600.0,104.78159999999932,0.8315999999999946,0.0,0.8315999999999946,-0.001929165491364568
457200.0,3600.0,105.61319999999931,0.8315999999999946,0.0,0.8315999999999946,-0.0019291641885446822
460800.0,3600.0,106.44480000000138,0.8316000000020694,0.0,0.8316000000020694,-0.0019291621463424062
464400.0,3600.0,107.2763999999993,0.8315999999979198,0.0,0.8315999999979198,-0.0019291593969522592
468000.0,3600.0,108.10800000000137,0.8316000000020694,0.0,0.8316000000020694,-0.0019291559723007275
471600.0,3600.0,108.93959999999929,0.8315999999979198,0.0,0.8315999999979198,-0.0019291519040222106
475200.0,3600.0,109.77119999999928,0.8315999999999946,0.0,0.8315999999999946,-0.0019291472234394948
478800.0,3600.0,110.60279999999928,0.8315999999999946,0.0,0.8315999999999946,-0.0019291419615415422
482400.0,3600.0,111.43439999999927,0.8315999999999946,0.0,0.8315999999999946,-0.001929136148970644
486000.0,3600.0,112.26599999999927,0.8315999999999946,0.0,0.8315999999999946,-0.0019291298160009768
489600.0,3600.0,113.09759999999926,0.8315999999999946,0.0,0.8315999999999946,-0.0019291229925264568
493200.0,3600.0,113.92919999999926,0.8315999999999946,0.0,0.8315999999999946,-0.0019291157080493773
496800.0,3600.0,114.76079999999925,0.8315999999999946,0.0,0.8315999999999946,-0.0019291079916625956
500400.0,3600.0,115.59239999999924,0.8315999999999946,0.0,0.8315999999999946,-0.0019290998720459152
504000.0,3600.0,116.42399999999924,0.8315999999999946,0.0,0.8315999999999946,-0.0019290913774550529
507600.0,3600.0,117.25559999999923,0.8315999999999946,0.0,0.8315999999999946,-0.001929082535712682
511200.0,3600.0,118.0872000000013,0.8316000000020694,0.0,0.8316000000020694,-0.0019290733741995653
514800.0,3600.0,118.9188000000013,0.8315999999999946,0.0,0.8315999999999946,-0.0019290639198563332
